Date;Close;High;Low;Open;Log_Returns
04/14/2026;3579.61;3579.95;3579.61;3579.95;-0.0028788477719563664
04/13/2026;3578.71;3578.72;3578.63;3578.63;-0.0002514556501364345
4/10/2026;3514.16;3526.84;3426.57;3466.7;-0.01820187939531782
4/09/2026;3441.97;3441.97;3440.07;3440.07;-0.020756538996940292
4/08/2026;3465.1;0.0;0.0;3411.73;0.006697510365790033
4/07/2026;3466.22;3467.56;3465.54;3465.54;0.00032317076970847953
4/06/2026;3315.61;3315.61;3314.43;3314.43;-0.044423044247945125
4/02/2026;3226.42;3246.67;3197.77;3223.22;-0.027268455358828818
4/01/2026;3299.38;3299.72;3299.35;3299.72;0.02236140861590706
03/31/2026;3279.8;3280.95;3279.8;3280.07;-0.00595212710591711
03/30/2026;3219.95;3220.42;3219.15;3220.42;-0.01841661344176176
03/27/2026;3182.3;3331.34;3162.79;3209.88;-0.011761625687123523
03/26/2026;3310.85;3311.7;3310.85;3311.7;0.039600748206874474
03/25/2026;3444.11;3444.11;3442.85;3442.85;0.03946057165533893
03/24/2026;3418.19;3418.19;3417.76;3418.12;-0.007554354448901501
03/23/2026;3416.74;3416.74;3415.25;3415.25;-0.00042429111102913785
03/20/2026;3427.35;3454.73;3361.62;3408.55;0.0031004877199202114
03/19/2026;3396.47;3397.45;3396.47;3396.53;-0.00905071083213087
03/18/2026;3457.9;3458.06;3455.08;3455.08;0.01792481140458606
03/17/2026;3587.35;3587.65;3587.15;3587.15;0.036752299971928734
03/16/2026;3648.31;3650.31;3486.34;3573.91;0.01685027830691881
03/13/2026;3406.28;3558.45;3398.6;3526.0;-0.06864325994174633
3/12/2026;3439.24;3439.24;3436.89;3436.89;0.009629730013987363
3/11/2026;3373.3;3374.17;3373.3;3374.17;-0.01935902302460647
3/10/2026;3361.48;3361.55;3360.53;3361.55;-0.0035101405350339357
3/09/2026;3312.43;3313.69;3310.85;3310.85;-0.01469929417084605
3/06/2026;3280.81;3429.49;3248.0;3309.07;-0.00959171588545214
3/05/2026;3387.1;3387.1;3384.72;3384.72;0.03188375492474466
3/04/2026;3499.57;3500.12;3499.03;3500.12;0.032666005752077905
3/03/2026;3280.17;3282.59;3280.17;3281.87;-0.06474485348369896
3/02/2026;3318.18;3318.18;3317.61;3317.75;0.011521189523464643
02/27/2026;3167.02;3307.61;3128.72;3194.09;-0.046625357183433455
02/26/2026;3248.43;3248.43;3247.23;3247.4;0.025380720038035143
02/25/2026;3315.82;3317.68;3315.06;3317.68;0.020533150832599115
02/24/2026;3178.0;3186.03;3178.0;3184.97;-0.04245288541739621
02/23/2026;3095.54;3098.17;3095.54;3097.32;-0.02628970223733816
02/20/2026;3275.93;3285.37;3209.37;3214.71;0.05663943236398064
02/19/2026;3237.2;3237.44;3237.2;3237.44;-0.011893039601756968
02/18/2026;3218.63;3219.62;3218.63;3219.62;-0.005752955457872896
02/17/2026;3245.79;3245.79;3244.9;3245.38;0.008402968808808087
02/13/2026;3318.79;3379.06;3245.14;3307.48;0.022241486675830136
2/12/2026;3181.66;3182.68;3181.66;3182.67;-0.04219718549664237
2/11/2026;3252.11;3254.5;3252.11;3254.47;0.02190094328222104
2/10/2026;3313.17;3313.92;3313.17;3313.92;0.018601418558894665
2/09/2026;3397.65;3398.17;3397.29;3398.17;0.02517858116830106
2/06/2026;3421.29;3452.4;3060.74;3218.99;0.006933656758630644
2/05/2026;3072.01;3072.09;3070.46;3070.46;-0.1076856024491192
2/04/2026;3511.14;3515.29;3511.14;3515.09;0.13360870058243873
2/03/2026;3690.14;3690.14;3688.61;3688.61;0.04972362664122177
2/02/2026;3805.2;3776.15;3776.15;3759.97;0.03070415463804336
01/30/2026;4100.71;4144.78;3993.33;4075.14;0.07479157709948434
01/29/2026;4125.96;4127.18;4125.96;4126.24;0.006138590532931698
01/28/2026;4380.37;4380.37;4379.36;4379.36;0.05983447572381657
01/27/2026;4404.91;4405.3;4404.91;4404.92;0.005586632144986836
01/26/2026;4353.41;4354.74;4352.46;4352.46;-0.01176038180024734
01/23/2026;4407.51;4490.72;4352.01;4396.15;0.012350458096075668
01/22/2026;4414.14;4414.14;4410.85;4410.85;0.0015031204476039668
01/21/2026;4454.41;4454.41;4454.05;4454.24;0.009081592091836966
01/20/2026;4385.0;4386.22;4385.0;4385.95;-0.015704990862506766
01/16/2026;4578.42;4599.09;4595.21;4598.36;0.043164334617352036
01/15/2026;4755.31;4755.31;4753.35;4753.35;0.03790792796285566
01/14/2026;4804.2;4809.29;4804.2;4809.29;0.010228646920151914
01/13/2026;4772.82;4773.58;4772.82;4773.58;-0.006553210142602259
1/12/2026;4539.03;4540.3;4539.0;4540.3;-0.05022399234408997
1/09/2026;4515.11;4593.38;4472.19;4506.18;-0.005283783031978351
1/08/2026;4564.78;4569.71;4559.62;4559.62;0.010940770308702963
1/07/2026;4580.98;4583.45;4580.98;4583.45;0.0035426289215534004
1/06/2026;4651.95;4652.36;4651.95;4652.36;0.015373537497216953
1/05/2026;4730.54;4732.2;4728.97;4728.97;0.016752874359078438
1/02/2026;4489.1;4520.69;4362.45;4391.65;-0.05238712466439379
12/31/2025;4370.28;4378.13;4313.41;4330.82;-0.0268251559465517
12/30/2025;4367.54;4367.76;4367.54;4367.66;-0.0006271587397794607
12/29/2025;4298.23;4298.23;4297.9;4297.9;-0.015996611491145004
12/26/2025;4308.91;4463.05;4333.54;4346.93;0.002481661848463952
12/24/2025;4315.21;4365.52;4297.71;4323.79;0.0014610188913542273
12/23/2025;4331.91;4331.91;4331.72;4331.87;0.0038625625093236635
12/22/2025;4384.04;4388.77;4376.7;4384.97;0.011962120392022234
