Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
27/06/2025;8.263.179.779.052.730;8.374.669.006.456.840;8.215.398.139.119.970;8.321.910.602.851.190;11032700;-0.008038997446782454;911.651.835.483.551
30/06/2025;8.255.216.217.041.010;833.684.258.571.063;8.231.325.776.310.820;8.288.066.047.709.660;8503400;-0.0009642053175832746;7.019.740.557.998.650
1/07/2025;8.270.148.468.017.570;8.448.333.025.107.520;8.166.622.206.718.550;8.208.430.670.090.230;11537600;0.001807192195165843;9.541.766.496.459.960
2/07/2025;8.440.369.415.283.200;8.488.150.299.991.800;823.331.688.964.333;8.262.184.855.575.530;10887400;0.020373615756985767;9.189.367.797.195.430
3/07/2025;8.485.164.642.333.980;8.507.064.532.361.710;8.403.538.262.798.320;8.462.269.855.096.640;4956000;0.005293225193190357;42.052.475.967.407.200
7/07/2025;8.319.920.349.121.090;8.474.213.698.882.340;82.641.749.739.466;8.448.332.704.138.450;8494300;-0.019666621062167596;7.067.189.942.153.930
8/07/2025;8.432.405.853.271.480;8.497.109.863.786.120;8.306.979.699.293.020;8.331.865.798.763;9617300;0.013429441780062383;8.109.697.681.266.780
9/07/2025;8.746.966.552.734.370;8.750.948.419.802.310;8.515.027.922.405.400;852.498.221.034.351;14875400;0.036624837430319274;13.011.462.625.854.400
10/07/2025;8.797.733.306.884.760;8.820.628.851.769.060;8.664.344.182.882.410;8.746.966.212.535.870;9903200;0.005787148967230841;8.712.571.248.474.120
11/07/2025;8.662.353.515.625;8.750.948.731.986.130;8.630.499.337.408.590;871.809.889.710.135;7716800;-0.015507655342075911;66.845.649.609.375
14/07/2025;8.786.782.836.914.060;8.814.655.903.637.560;8.634.480.044.054.700;8.643.439.433.938.820;6410900;0.014262187875507572;5.633.118.608.917.230
15/07/2025;8.551.859.283.447.260;8.832.574.445.145.450;8.529.959.395.175.350;8.829.587.475.365.540;12109600;-0.027099922715419725;10.355.959.517.883.300
16/07/2025;8.741.989.135.742.180;8.748.957.213.330.260;8.604.618.137.807.130;860.760.434.827.867;13045500;0.021989034314672654;1.140.436.192.703.240
