Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
19/02/2023;24.327.642.578.125;250.930.546.875;24.327.642.578.125;2.464.002.734.375;25555105670;-0.01280971909443967;621695476785975.6;765.412.109.375;621695476785975.6
20/02/2023;248.291.484.375;25.020.458.984.375;2.392.791.015.625;24.336.623.046.875;28987376573;0.02040504474431612;719731875744727.0;1.092.548.828.125;719731875744727.0
21/02/2023;24.436.353.515.625;251.268.515.625;2.420.036.328.125;24.833.048.828.125;31252098714;-0.015946381537723795;763687332280513.5;92.648.828.125;763687332280513.5
22/02/2023;2.418.884.375;2.447.233.984.375;23.644.318.359.375;2.443.741.796.875;30199996781;-0.010180396881003117;730503003386112.0;828.021.484.375;730503003386112.0
23/02/2023;239.474.921.875;2.457.208.984.375;23.693.919.921.875;2.419.071.875;30476264066;-0.010027916762018151;729830095624722.0;878.169.921.875;729830095624722.0
24/02/2023;23.198.126.953.125;24.103.705.078.125;23.007.072.265.625;239.460.078.125;26811744928;-0.03179206740644356;621982262674549.2;10.966.328.125;621982262674549.2
25/02/2023;23.175.375;232.102.109.375;2.286.155.859.375;23.200.125;16100721565;-0.000981248083164121;373140260039461.9;34.865.234.375;373140260039461.9
26/02/2023;23.561.212.890.625;236.543.671.875;23.084.220.703.125;23.174.150.390.625;16644534842;0.016511545833869257;392165428877787.4;570.146.484.375;392165428877787.4
27/02/2023;2.352.287.109.375;23.857.890.625;2.320.587.890.625;23.561.451.171.875;22660763494;-0.001628652491694882;533046218555317.9;65.201.171.875;533046218555317.9
28/02/2023;23.147.353.515.625;23.585.384.765.625;23.077.650.390.625;23.521.837.890.625;20535363434;-0.016092730875103014;475339316978637.0;507.734.375;475339316978637.0
1/03/2023;2.364.655.078.125;238.806.328.125;23.088.626.953.125;231.509.296.875;24662841200;0.021336804939163678;583191126845704.8;792.005.859.375;583191126845704.8
2/03/2023;23.475.466.796.875;23.739.138.671.875;23.245.021.484.375;2.364.701.953.125;20386398516;-0.007261350209481709;478580221470219.75;4.941.171.875;478580221470219.75
3/03/2023;223.626.796.875;2.347.934.765.625;2.221.323.828.125;234.766.328.125;26062404610;-0.04856242572977136;582825206179453.4;1.266.109.375;582825206179453.4
4/03/2023;22.353.349.609.375;22.405.177.734.375;2.219.898.046.875;22.362.923.828.125;11166012913;-0.0004173035221196778;249597790387084.75;206.197.265.625;249597790387084.75
5/03/2023;22.435.513.671.875;22.613.685.546.875;22.307.142.578.125;2.235.414.453.125;13317001733;0.00366895467532336;298773774449104.56;30.654.296.875;298773774449104.56
6/03/2023;224.297.578.125;2.258.429.296.875;22.331.314.453.125;2.243.681.640.625;17353192895;-0.0002565841781915384;389227913908445.75;252.978.515.625;389227913908445.75
7/03/2023;2.221.976.953.125;2.252.741.796.875;2.201.126.171.875;22.428.322.265.625;22765452204;-0.009406138966041635;505843101247567.4;51.615.625;505843101247567.4
8/03/2023;21.718.080.078.125;22.268.896.484.375;2.170.805.078.125;2.221.644.140.625;22536575684;-0.022837315061132093;489451155391836.7;560.845.703.125;489451155391836.7
9/03/2023;20.363.021.484.375;21.802.716.796.875;20.210.306.640.625;21.720.080.078.125;30364664171;-0.06442451332853331;618316308879904.8;159.241.015.625;618316308879904.8
10/03/2023;20.187.244.140.625;20.370.595.703.125;1.962.825.390.625;20.367.001.953.125;39578257695;-0.00866965688311379;798975950749535.1;742.341.796.875;798975950749535.1
11/03/2023;2.063.241.015.625;20.792.525.390.625;2.006.866.015.625;20.187.876.953.125;30180288176;0.021812221244110887;622692084281054.2;723.865.234.375;622692084281054.2
12/03/2023;2.216.394.921.875;2.218.503.125;20.448.806.640.625;20.628.029.296.875;29279035521;0.07160391184533008;648939056461421.5;1.736.224.609.375;648939056461421.5
