Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
27/09/2023;3.976.409.912.109.370;3.997.050.048.828.120;394.897.998.046.875;3982.75;309700;0.0035445980664610115;12.314.941.497.802.700
28/09/2023;39.721.298.828.125;3.981.030.029.296.870;3940.75;397.589.990.234.375;297900;-0.0010769348385901007;11.832.974.920.898.400
29/09/2023;395.364.990.234.375;3.992.610.107.421.870;394.902.001.953.125;39.880.400.390.625;308700;-0.004663267074930543;12.204.917.248.535.100
2/10/2023;3.898.409.912.109.370;394.735.009.765.625;3.875.409.912.109.370;3947.0;331700;-0.014070423020147384;12.931.025.678.466.700
3/10/2023;3.862.469.970.703.120;3.883.840.087.890.620;3.837.919.921.875;387.293.994.140.625;380700;-0.009261887535156246;14.704.423.178.466.700
4/10/2023;3880.75;38.839.599.609.375;383.693.994.140.625;386.797.998.046.875;328300;0.004721566306016734;1274050225.0
5/10/2023;393.881.005.859.375;3.940.659.912.109.370;38.785.400.390.625;38.787.900.390.625;367700;0.014850228184192597;14.483.004.585.449.200
6/10/2023;3.960.889.892.578.120;3.978.780.029.296.870;3.916.989.990.234.370;3.919.530.029.296.870;276900;0.005590058259956948;10.967.704.112.548.800
9/10/2023;3.940.360.107.421.870;3.946.610.107.421.870;38.916.201.171.875;39.412.900.390.625;266700;-0.005196603412438427;10.508.940.406.494.100
10/10/2023;3.970.820.068.359.370;398.147.998.046.875;392.552.001.953.125;3.930.530.029.296.870;395600;0.007700522748458064;15.708.564.190.429.600
11/10/2023;3.983.280.029.296.870;3.999.080.078.125;39.601.201.171.875;3.986.320.068.359.370;288200;0.003132968148813559;11.479.813.044.433.500
12/10/2023;39.209.599.609.375;39.845.400.390.625;3912.75;3.983.590.087.890.620;346500;-0.01576909603693754;13.586.126.264.648.400
13/10/2023;3.936.679.931.640.620;3.943.860.107.421.870;390.247.998.046.875;3.927.659.912.109.370;335500;0.004001199314440317;13.207.561.170.654.200
16/10/2023;3.962.080.078.125;39.749.599.609.375;391.577.001.953.125;3.934.739.990.234.370;319000;0.006431448482095889;1.263.903.544.921.870
17/10/2023;3.957.050.048.828.120;3.983.320.068.359.370;394.843.994.140.625;394.843.994.140.625;438700;-0.0012703491147858618;17.359.578.564.208.900
18/10/2023;38.783.701.171.875;393.714.990.234.375;3.873.929.931.640.620;3.933.929.931.640.620;361100;-0.020083818008181827;14.004.794.493.164.000
19/10/2023;381.202.001.953.125;38.726.298.828.125;38.032.099.609.375;387.168.994.140.625;309600;-0.01725575499852454;1.180.201.398.046.870
20/10/2023;37.927.099.609.375;38.319.599.609.375;3791.25;3.815.169.921.875;295200;-0.005078444637699413;111.960.798.046.875
23/10/2023;3.747.070.068.359.370;37.768.798.828.125;3.746.760.009.765.620;3.774.580.078.125;379900;-0.012106573361377403;14.235.119.189.697.200
24/10/2023;38.017.900.390.625;381.327.001.953.125;3.766.590.087.890.620;3.766.590.087.890.620;340600;0.014497799235793696;12.948.896.873.046.800
25/10/2023;37.398.798.828.125;3.779.219.970.703.120;372.868.994.140.625;377.810.009.765.625;280500;-0.016418524712593252;10.490.363.071.289.000
26/10/2023;37.371.298.828.125;3.757.949.951.171.870;3.726.419.921.875;3.740.469.970.703.120;317600;-0.0007355882124543332;118.691.245.078.125
27/10/2023;3.637.050.048.828.120;372.818.994.140.625;3.630.429.931.640.620;372.793.994.140.625;350600;-0.027144978873448234;12.751.497.471.191.400
30/10/2023;3.677.860.107.421.870;368.968.994.140.625;3.660.320.068.359.370;366.756.005.859.375;329800;0.011158163570348763;12.129.582.634.277.300
