Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume
18/03/2024;5.149.419.921.875;517.560.009.765.625;514.547.021.484.375;515.477.001.953.125;4036220000;0.006298184238480456;20.784.191.677.070.300
19/03/2024;5.178.509.765.625;518.031.005.859.375;513.158.984.375;513.908.984.375;4031760000;0.00563325304434312;20878508532656.25
20/03/2024;52.246.201.171.875;522.618.994.140.625;51.715.498.046.875;518.168.994.140.625;4064850000;0.008864765516360184;21237297083349.61
21/03/2024;524.152.978.515.625;526.110.009.765.625;524.066.015.625;525.343.017.578.125;4207730000;0.003231309094528888;22.054.942.122.895.500
22/03/2024;523.418.017.578.125;524.608.984.375;52.298.701.171.875;524.247.998.046.875;3374700000;-0.0014031718343267125;17.663.787.839.208.900
25/03/2024;521.818.994.140.625;522.908.984.375;521.608.984.375;521.952.001.953.125;3331360000;-0.0030596403820319297;17.383.669.243.203.100
26/03/2024;5.203.580.078.125;523.516.015.625;5.203.419.921.875;522.885.009.765.625;3871790000;-0.002803721982805726;20.147.169.310.683.500
27/03/2024;5.248.490.234.375;5.249.259.765.625;5.213.919.921.875;522.631.005.859.375;3850500000;0.008593595582706042;20.209.311.647.460.900
28/03/2024;525.435.009.765.625;526.485.009.765.625;524.581.982.421.875;524.802.978.515.625;3998270000;0.0011158627007616052;21.008.310.364.956.000
1/04/2024;524.377.001.953.125;52.639.501.953.125;52.292.001.953.125;525.797.021.484.375;3325930000;-0.0020156145269577246;17440412021059.57
2/04/2024;520.581.005.859.375;520.833.984.375;51.840.498.046.875;52.042.900.390.625;3886590000;-0.007265388203672426;20.232.849.315.629.800
3/04/2024;5.211.490.234.375;5228.75;51.943.701.171.875;51.943.701.171.875;3703250000;0.001090527523337898;19299451210449.22
4/04/2024;51.472.099.609.375;525.658.984.375;514.606.005.859.375;52.440.498.046.875;4075680000;-0.01241103561926225;20978380693593.75
5/04/2024;520.433.984.375;522.218.017.578.125;51.572.099.609.375;51.589.501.953.125;3386780000;0.011038050135699558;17.625.954.096.015.600
8/04/2024;520.239.013.671.875;521.956.982.421.875;519.735.009.765.625;52.113.701.171.875;3278180000;-0.0003747011900415767;17.054.371.298.388.600
9/04/2024;520.991.015.625;522.481.005.859.375;516.077.978.515.625;521.702.978.515.625;3400680000;0.0014444494736345207;17717237270156.25
10/04/2024;516.064.013.671.875;517.843.017.578.125;51.387.001.953.125;51.678.798.828.125;3845930000;-0.009501981832212592;19.847.460.721.010.700
11/04/2024;519.906.005.859.375;521.177.978.515.625;513.877.001.953.125;51.729.501.953.125;3509380000;0.007417221983342437;18.245.477.388.427.700
12/04/2024;512.341.015.625;517.502.978.515.625;510.793.994.140.625;5.171.509.765.625;3963220000;-0.014657587802248536;20.305.201.599.453.100
15/04/2024;506.181.982.421.875;516.843.017.578.125;505.247.021.484.375;5.149.669.921.875;3950210000;-0.012094195787459195;19995251287827.15
16/04/2024;505.141.015.625;507.983.984.375;5.039.830.078.125;506.458.984.375;4006200000;-0.0020586245275039964;20236959367968.75
